Year,Age,Scenario,Baseyear,Currently.Impacted,Impact.year,popsize.mean,popsize.sd,popsize.median,popsize.q1%,popsize.q2.5%,popsize.q5%,popsize.q10%,popsize.q20%,popsize.q25%,popsize.q33%,popsize.q66%,popsize.q75%,popsize.q80%,popsize.q90%,popsize.q95%,popsize.q97.5%,popsize.q99%,pgr.median,pgr.mean,pgr.sd,pgr.cilo,pgr.cihi,agr.median,agr.mean,agr.sd,agr.cilo,agr.cihi,ppc.median,ppc.mean,ppc.sd,ppc.cilo,ppc.cihi,m1.median,m1.mean,m1.sd,m1.cilo,m1.cihi,m2.median,m2.mean,m2.sd,m2.cilo,m2.cihi,m3,m4,m5,m6
2028,breeding.pairs,baseline,2025,TRUE,2,18303.6996230297,0,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,1.72425822511118,1.72425822511118,0,1.72425822511118,1.72425822511118,1.19913322247004,1.19913322247004,0,1.19913322247004,1.19913322247004,72.425822511118,72.425822511118,0,72.425822511118,72.425822511118,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2028,breeding.pairs,scen1,2025,TRUE,2,18303.6996230297,0,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,1.72425822511118,1.72425822511118,0,1.72425822511118,1.72425822511118,1.19913322247004,1.19913322247004,0,1.19913322247004,1.19913322247004,72.425822511118,72.425822511118,0,72.425822511118,72.425822511118,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2028,breeding.pairs,scen2,2025,TRUE,2,18303.6996230297,0,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,1.72425822511118,1.72425822511118,0,1.72425822511118,1.72425822511118,1.19913322247004,1.19913322247004,0,1.19913322247004,1.19913322247004,72.425822511118,72.425822511118,0,72.425822511118,72.425822511118,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2028,breeding.pairs,scen3,2025,TRUE,2,18303.6996230297,0,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,18303.6996230297,1.72425822511118,1.72425822511118,0,1.72425822511118,1.72425822511118,1.19913322247004,1.19913322247004,0,1.19913322247004,1.19913322247004,72.425822511118,72.425822511118,0,72.425822511118,72.425822511118,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2029,breeding.pairs,baseline,2025,TRUE,3,21990.375898677,0,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,2.07155314485566,2.07155314485566,0,2.07155314485566,2.07155314485566,1.19970375965688,1.19970375965688,0,1.19970375965688,1.19970375965688,107.155314485566,107.155314485566,0,107.155314485566,107.155314485566,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2029,breeding.pairs,scen1,2025,TRUE,3,21990.375898677,0,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,2.07155314485566,2.07155314485566,0,2.07155314485566,2.07155314485566,1.19970375965688,1.19970375965688,0,1.19970375965688,1.19970375965688,107.155314485566,107.155314485566,0,107.155314485566,107.155314485566,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2029,breeding.pairs,scen2,2025,TRUE,3,21990.375898677,0,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,2.07155314485566,2.07155314485566,0,2.07155314485566,2.07155314485566,1.19970375965688,1.19970375965688,0,1.19970375965688,1.19970375965688,107.155314485566,107.155314485566,0,107.155314485566,107.155314485566,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2029,breeding.pairs,scen3,2025,TRUE,3,21990.375898677,0,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,21990.375898677,2.07155314485566,2.07155314485566,0,2.07155314485566,2.07155314485566,1.19970375965688,1.19970375965688,0,1.19970375965688,1.19970375965688,107.155314485566,107.155314485566,0,107.155314485566,107.155314485566,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2030,breeding.pairs,baseline,2025,TRUE,4,26441.4636479978,0,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,2.49085770188639,2.49085770188639,0,2.49085770188639,2.49085770188639,1.20024466312634,1.20024466312634,0,1.20024466312634,1.20024466312634,149.085770188639,149.085770188639,0,149.085770188639,149.085770188639,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2030,breeding.pairs,scen1,2025,TRUE,4,26441.4636479978,0,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,26441.4636479978,2.49085770188639,2.49085770188639,0,2.49085770188639,2.49085770188639,1.20024466312634,1.20024466312634,0,1.20024466312634,1.20024466312634,149.085770188639,149.085770188639,0,149.085770188639,149.085770188639,1,1,0,1,1,1,1,0,1,1,100,100,0,100
