Year,Age,Scenario,Baseyear,Currently.Impacted,Impact.year,popsize.mean,popsize.sd,popsize.median,popsize.q1%,popsize.q2.5%,popsize.q5%,popsize.q10%,popsize.q20%,popsize.q25%,popsize.q33%,popsize.q66%,popsize.q75%,popsize.q80%,popsize.q90%,popsize.q95%,popsize.q97.5%,popsize.q99%,pgr.median,pgr.mean,pgr.sd,pgr.cilo,pgr.cihi,agr.median,agr.mean,agr.sd,agr.cilo,agr.cihi,ppc.median,ppc.mean,ppc.sd,ppc.cilo,ppc.cihi,m1.median,m1.mean,m1.sd,m1.cilo,m1.cihi,m2.median,m2.mean,m2.sd,m2.cilo,m2.cihi,m3,m4,m5,m6
2016,breeding.pairs,baseline,2011,TRUE,4,56835.3290239599,0,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,56835.3290239599,1.85891518122323,1.85891518122323,0,1.85891518122323,1.85891518122323,1.13201430466961,1.13201430466961,0,1.13201430466961,1.13201430466961,85.8915181223231,85.8915181223231,0,85.8915181223231,85.8915181223231,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2016,breeding.pairs,scen1,2011,TRUE,4,64242.1113662179,148.764146384036,64242.1113662179,64139.0230722464,64142.1788363476,64147.4384431829,64157.9576568534,64178.9960841945,64189.5152978651,64206.346039738,64275.7728499637,64294.7074345707,64305.2266482412,64326.2650755823,64336.7842892529,64342.0438960882,64345.1996601894,2.10116908168425,2.10116908168425,0.00486563436658263,2.09790058478163,2.10443757858686,1.16009113255859,1.16009113255859,0.000537280333609376,1.15973021371966,1.16045205139752,110.116908168425,110.116908168425,0.486563436658244,109.790058478163,110.443757858686,1.02480253807144,1.02480253807144,0.000474623272332349,1.02448370920378,1.02512136693909,1.13032003983184,1.13032003983184,0.00261745905124128,1.12856175793946,1.13207832172422,100,0,0,100
2016,breeding.pairs,scen2,2011,TRUE,4,58394.9885950923,0.348082281974916,58394.9885950923,58394.7473863772,58394.7547703174,58394.7670768845,58394.7916900187,58394.8409162871,58394.8655294213,58394.9049104361,58395.0673571218,58395.1116607633,58395.1362738975,58395.1855001659,58395.2101133001,58395.2224198672,58395.2298038075,1.90992702375336,1.90992702375336,1.13847399037108e-05,1.90991937603791,1.90993467146881,1.1381600949359,1.1381600949359,1.35687452863337e-06,1.13815918345348,1.13816100641832,90.9927023753359,90.9927023753359,0.00113847399036291,90.991937603791,90.9934671468807,1.00542907473955,1.00542907473955,1.19863726368113e-06,1.00542826955324,1.00542987992586,1.02744172679065,1.02744172679065,6.12439987498659e-06,1.02743761271621,1.0274458408651,100,0,0,100
2016,breeding.pairs,scen3,2011,TRUE,4,67086.0749282384,322.957802627847,67086.0749282384,66862.2765890086,66869.1275585769,66880.5458411907,66903.3824064182,66949.0555368732,66971.8921021008,67008.4306064648,67159.1519369665,67200.257754376,67223.0943196036,67268.7674500586,67291.6040152861,67303.0222978999,67309.8732674681,2.19418670172929,2.19418670172929,0.0105629926404809,2.18709099618987,2.20128240726871,1.17018442422123,1.17018442422123,0.00112667671221017,1.16942757751499,1.17094127092747,119.418670172929,119.418670172929,1.05629926404809,118.709099618987,120.128240726871,1.03371876079142,1.03371876079142,0.000995284871898384,1.0330501767434,1.03438734483945,1.18035869731584,1.18035869731584,0.00568234244745383,1.1765415755821,1.18417581904958,100,0,0,100
2017,breeding.pairs,baseline,2011,TRUE,5,64338.537844992,0,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,64338.537844992,2.10432290604567,2.10432290604567,0,2.10432290604567,2.10432290604567,1.13201469286464,1.13201469286464,0,1.13201469286464,1.13201469286464,110.432290604567,110.432290604567,0,110.432290604567,110.432290604567,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2017,breeding.pairs,scen1,2011,TRUE,5,74912.4312366807,223.199156237041,74912.4312366807,74757.762112489,74762.4968815969,74770.3881634434,74786.1707271365,74817.7358545225,74833.5184182156,74858.7705201244,74962.9354404984,74991.3440551459,75007.1266188389,75038.691746225,75054.474309918,75062.3655917645,75067.1003608724,2.45016362321931,2.45016362321931,0.007300182951177,2.44525971479406,2.45506753164456,1.16108954395127,1.16108954395127,0.000576572261385612,1.1607022307032,1.16147685719935,145.016362321931,145.016362321931,0.730018295117714,144.525971479407,145.506753164456,1.02568416405715,1.02568416405715,0.00050933284260348,1.02534201898561,1.02602630912869,1.16434774158474,1.16434774158474,0.00346913628616782,1.16201734428157,1.16667813888791,100,0,0,100
2017,breeding.pairs,scen2,2011,TRUE,5,66778.7090981731,4.1602592029968,66778.7090981731,66775.826185629,66775.9144380538,66776.0615254285,66776.3557001779,66776.9440496767,66777.2382244261,66777.7089040251,66779.6504573711,66780.17997192,66780.4741466694,66781.0624961682,66781.3566709176,66781.5037582923,66781.5920107171,2.18413367630461,2.18413367630461,0.000136069749627313,2.18404227125407,2.18422508135516,1.13905982859223,1.13905982859223,1.18270833166482e-05,1.13905188373195,1.1390677734525,118.413367630461,118.413367630461,0.0136069749627338,118.404227125407,118.422508135516,1.00622353735512,1.00622353735512,1.04478178517605e-05,1.00621651901841,1.00623055569183,1.03792705484014,1.03792705484014,6.46620103959179e-05,1.0378836180414,1.03797049163887,100,0,0,100
2017,breeding.pairs,scen3,2011,TRUE,5,78554.9280977029,445.279475069092,78554.9280977029,78246.3651640853,78255.8109681756,78271.5539749929,78303.0399886273,78366.0120158962,78397.4980295307,78447.8756513458,78655.6833413332,78712.3581658752,78743.8441795097,78806.8162067786,78838.302220413,78854.0452272303,78863.4910313206,2.56929890102614,2.56929890102614,0.0145637720465046,2.55951566615109,2.57908213590119,1.17031279718766,1.17031279718766,0.0011056360896203,1.16957008454999,1.17105550982533,156.929890102614,156.929890102614,1.45637720465049,155.951566615109,157.908213590119,1.03383180851311,1.03383180851311,0.000976697649411609,1.03317571045859,1.03448790656762,1.22096228370875,1.22096228370875,0.00692088272415969,1.216313170758,1.22561139665949,100,0,0,100
2018,breeding.pairs,baseline,2011,TRUE,6,72832.2858142872,0,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,72832.2858142872,2.38212823095107,2.38212823095107,0,2.38212823095107,2.38212823095107,1.13201494966751,1.13201494966751,0,1.13201494966751,1.13201494966751,138.212823095107,138.212823095107,0,138.212823095107,138.212823095107,1,1,0,1,1,1,1,0,1,1,100,100,0,100
2018,breeding.pairs,scen1,2011,TRUE,6,87365.2541878247,318.39537204082,87365.2541878247,87144.6174516896,87151.3716374896,87162.6286138231,87185.1425664899,87230.1704718236,87252.6844244905,87288.7067487574,87437.2988363586,87477.8239511589,87500.3379038258,87545.3658091595,87567.8797618263,87579.1367381598,87585.8909239598,2.85745855808646,2.85745855808646,0.0104137690567144,2.85046309370463,2.86445402246829,1.16182258587508,1.16182258587508,0.000604882079868918,1.16141625546561,1.16222891628455,185.745855808646,185.745855808646,1.04137690567142,185.046309370463,186.445402246829,1.02633148636096,1.02633148636096,0.000534341070360068,1.02597254197636,1.02669043074556,1.19954019307584,1.19954019307584,0.00437162404668563,1.19660354831804,1.20247683783364,100,0,0,100
