parname,pcchange.inipop.vals,pcchange.demobase.prod.mean,pcchange.demobase.survadult.mean,pcchange.impact.prod.mean,pcchange.impact.survadult.mean,inipop.vals,demobase.prod.mean,demobase.survadult.mean,impact.prod.mean,impact.survadult.mean,Year,Age,Scenario,Baseyear,Currently.Impacted,Impact.year,popsize.mean,popsize.sd,popsize.median,popsize.q1%,popsize.q2.5%,popsize.q5%,popsize.q10%,popsize.q20%,popsize.q25%,popsize.q33%,popsize.q66%,popsize.q75%,popsize.q80%,popsize.q90%,popsize.q95%,popsize.q97.5%,popsize.q99%,pgr.median,pgr.mean,pgr.sd,pgr.cilo,pgr.cihi,agr.median,agr.mean,agr.sd,agr.cilo,agr.cihi,ppc.median,ppc.mean,ppc.sd,ppc.cilo,ppc.cihi,m1.median,m1.mean,m1.sd,m1.cilo,m1.cihi,m2.median,m2.mean,m2.sd,m2.cilo,m2.cihi,m3,m4,m5,m6
demobase.prod.mean,0,13.3897497726139,0,0,0,153,1.74659071357294,0.651406335928477,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
demobase.prod.mean,0,20.0846246589208,0,0,0,153,1.84971472900118,0.651406335928477,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
demobase.prod.mean,0,26.7794995452277,0,0,0,153,1.95283874442943,0.651406335928477,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
demobase.survadult.mean,0,0,-30.7887919363566,0,0,153,1.54034268271644,0.450846194499215,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
demobase.survadult.mean,0,0,-23.0915939522674,0,0,153,1.54034268271644,0.50098622985653,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
demobase.survadult.mean,0,0,-15.3943959681783,0,0,153,1.54034268271644,0.551126265213846,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
demobase.survadult.mean,0,0,-7.69719798408914,0,0,153,1.54034268271644,0.601266300571162,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
demobase.survadult.mean,0,0,7.69719798408914,0,0,153,1.54034268271644,0.701546371285793,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
demobase.survadult.mean,0,0,15.3943959681783,0,0,153,1.54034268271644,0.751686406643109,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,5.6,2.50998007960223,5,2.12,2.3,2.6,3.2,4.4,5,5,6.92,8,8,8,8,8,8,0.043859649122807,0.0594863146007311,0.0345171051167312,0.0231140350877193,0.102202145680407,0.92986546805759,0.933247534693673,0.0138664419944037,0.915591107616307,0.948311002022344,-95.6140350877193,-95.6140350877193,3.45171051167312,-97.6885964912281,-89.7797854319593,0.991976785388524,0.995744062246507,0.0180190538636427,0.977523919478022,1.0164238338354,0.625,0.935909090909091,0.611883861124096,0.405454545454545,1.6,60,60,100,0
demobase.survadult.mean,0,0,23.0915939522674,0,0,153,1.54034268271644,0.801826442000425,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,162.8,34.5282493040119,151,127.64,128.6,130.2,133.4,139.8,143,145.56,168.28,178,185.4,200.2,207.6,211.3,213.52,1.04379562043796,1.07308366127626,0.111453351740563,0.954121438263229,1.22475553268142,1.00099732733611,1.00154547472976,0.00238454421386939,0.99890401800841,1.00471754249322,4.37956204379562,4.37956204379562,11.1453351740563,-4.58785617367707,22.4755532681421,0.996967079446888,0.998189626221853,0.00404385708138192,0.993328942780093,1.00307280329489,0.83625730994152,0.902204419344268,0.156112408737329,0.765948709797065,1.11417910447761,20,60,0,0
demobase.survadult.mean,0,0,30.7887919363566,0,0,153,1.54034268271644,0.85196647735774,0.02830534579698,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,3456.4,654.462603973672,3826,2745.28,2745.7,2746.4,2747.8,2750.6,2752,3095.68,3849.68,3863,3909.6,4002.8,4049.4,4072.7,4086.68,13.8458781362007,14.5463818515084,2.1757872336498,12.5146553617713,17.7483351831299,1.06302220725058,1.06403892909655,0.0035463665645182,1.06052025471195,1.06914431170485,1284.58781362007,1284.58781362007,217.57872336498,1151.46553617713,1674.83351831299,0.996076170911697,0.99669022654999,0.00357877750689981,0.993261033585758,1.0019490662864,0.81343440724363,0.927013039656606,0.198200618470041,0.784163849304643,1.21694631800585,80,40,0,100
impact.prod.mean,0,0,0,-27.1558258566074,0,153,1.54034268271644,0.651406335928477,0.0206187953842415,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
